id,start_datetime,end_datetime,run_length,avg_cell_value,tags
0,2010-11-01 00:00:00,2010-11-01 13:35:00,164,4.91796875,rain snow
1,2010-11-01 13:50:00,2010-11-01 23:55:00,122,3.693359375,rain snow
2,2010-11-02 00:00:00,2010-11-02 16:40:00,201,4.234375,rain snow
3,2010-11-07 00:00:00,2010-11-07 20:40:00,249,1.251953125,rain snow
4,2010-11-07 20:55:00,2010-11-07 23:55:00,37,2.078125,rain snow
5,2010-11-08 00:00:00,2010-11-08 22:50:00,275,2.234375,rain snow
6,2010-11-09 00:00:00,2010-11-09 06:30:00,79,2.7578125,rain snow
7,2010-11-09 07:00:00,2010-11-09 22:55:00,192,0.72119140625,rain snow
8,2010-11-15 00:00:00,2010-11-15 20:10:00,243,1.390625,rain snow
9,2010-11-15 20:25:00,2010-11-15 23:55:00,43,4.828125,rain snow
10,2010-11-16 00:00:00,2010-11-16 21:10:00,255,5.5390625,rain snow
11,2010-11-16 21:25:00,2010-11-16 23:55:00,31,2.267578125,rain snow
12,2010-11-18 00:00:00,2010-11-18 02:00:00,25,0.99365234375,rain snow
13,2010-11-18 02:15:00,2010-11-18 23:55:00,261,1.3095703125,rain snow
14,2010-11-19 00:00:00,2010-11-19 23:55:00,288,1.1279296875,rain
15,2010-11-21 00:00:00,2010-11-21 06:25:00,78,1.263671875,rain snow
16,2010-11-21 06:40:00,2010-11-21 22:00:00,185,5.5703125,rain snow
17,2010-11-22 00:00:00,2010-11-22 04:25:00,54,4.09765625,rain snow
18,2010-11-26 00:00:00,2010-11-26 23:55:00,288,1.64453125,rain snow
19,2010-11-27 18:10:00,2010-11-27 23:55:00,70,1.404296875,snow
20,2010-11-28 00:00:00,2010-11-28 04:30:00,55,1.6689453125,rain snow
21,2010-11-28 04:45:00,2010-11-28 23:55:00,231,2.462890625,rain snow
22,2010-11-29 00:00:00,2010-11-29 23:55:00,288,0.51611328125,rain snow
23,2010-11-30 00:00:00,2010-11-30 23:55:00,288,1.201171875,snow
24,2010-12-01 00:00:00,2010-12-01 21:40:00,261,4.44921875,rain snow
25,2010-12-01 21:55:00,2010-12-01 23:55:00,25,0.97998046875,rain snow
26,2010-12-02 08:50:00,2010-12-02 23:55:00,182,0.7001953125,rain downpour snow
27,2010-12-03 00:00:00,2010-12-03 07:50:00,95,0.6787109375,rain snow
28,2010-12-03 10:20:00,2010-12-03 23:55:00,164,0.5068359375,rain snow
29,2010-12-04 00:00:00,2010-12-04 03:35:00,44,1.6376953125,rain snow
30,2010-12-05 07:50:00,2010-12-05 23:55:00,194,0.98974609375,snow
